Leif	21970242	4.0
Stephania	21763310	38.0
Felix	21418304	41.0
Destiney	21796195	22.0
Amalia	21938201	45.0
Shayna	21437992	73.0
Dorthy	21043057	58.0
Verdie	21725836	38.0
Barney	21058031	51.0
Cindy	21715393	41.0
Kiley	21750285	15.0
Hellen	21592264	100.0
Fleta	21881690	15.0
Roosevelt	21894878	15.0
Justine	21285049	22.0
Myra	21476343	59.0
Parker	21706426	60.0
Jeromy	21338241	44.0
Allan	21940618	51.0
Nico	21378188	11.0
Josefa	21916905	2.0
Tyreek	21410163	3.0
Ransom	21054442	46.0
Bettye	21096443	68.0
Percy	21015592	85.0
Devante	21867189	99.0
Emmitt	21344428	90.0
Payton	21158642	61.0
Lydia	21003948	31.0
Julian	21263125	5.0
Ryan	21740083	39.0
Sydnie	21098128	62.0
Darren	21954436	35.0
Lenore	21351643	8.0
Amos	21008934	59.0
Madelynn	21498073	16.0
Joy	21853863	19.0
Eula	21428288	36.0
Estell	21057354	61.0
Loren	21860243	44.0
Alysha	21918048	53.0
Phoebe	21461132	85.0
Zora	21711404	32.0
Maximus	21765184	74.0
Katrine	21219992	87.0
Doris	21817960	79.0
Mozell	21339380	98.0
King	21524553	84.0
Dashawn	21924960	92.0
Haleigh	21957815	67.0
